_ID,TimeSt,Country,Province,City,Latitude,Longitude,ClosestDistance,ClosestPOI
4529149,2017-06-21 01:00:29.693,CA,ON,Mississauga,43.56864,-79.63094,527.3832097533962,POI3
4529202,2017-06-21 07:00:34.350,CA,AB,Edmonton,53.5327,-113.626,9.391578231356633,POI1
4529220,2017-06-21 12:00:33.037,CA,AB,Leduc,53.2668,-113.552,31.38207855635208,POI1
4529292,2017-06-21 08:00:33.970,CA,AB,Calgary,51.133,-113.85600000000001,269.58353928321793,POI1
4529367,2017-06-21 10:00:32.690,CA,AB,Edmonton,53.55848,-113.49825,1.59987515574697,POI1
4529461,2017-06-21 19:00:36.260,CA,ON,Windsor,42.2545,-82.9809,836.9139801576072,POI3
4529554,2017-06-21 22:00:35.983,CA,ON,Concord,43.81264,-79.50514,506.6480565033034,POI3
4529643,2017-06-21 01:00:36.750,CA,AB,Calgary,50.8921,-113.97745,297.09560593250905,POI1
4529735,2017-06-21 21:00:36.163,CA,ON,Lindsay,44.357,-78.7405,427.4034598887404,POI3
4529826,2017-06-21 04:00:36.553,CA,AB,Edmonton,53.4688,-113.508,8.730384210857519,POI1
4529862,2017-06-21 01:00:36.740,CA,AB,Calgary,51.04745,-114.1805,281.9089076878459,POI1
4529945,2017-06-21 12:00:36.797,CA,AB,Lethbridge,49.67346,-112.89122,432.6957525338547,POI1
4530039,2017-06-21 02:00:36.950,CA,ON,Markham,43.85883,-79.29809,489.38816221051684,POI3
4530051,2017-06-21 22:00:37.683,CA,ON,Oshawa,43.89029,-78.81588,452.82475656177553,POI3
4530079,2017-06-21 02:00:38.040,CA,AB,Spruce Grove,53.56081999999999,-113.88283,26.289230879458824,POI1
4530117,2017-06-21 04:00:38.270,CA,ON,Markham,43.85883,-79.29809,489.38816221051684,POI3
4530158,2017-06-21 06:00:36.667,CA,ON,Brampton,43.7601,-79.73680999999998,526.0170369824435,POI3
4530203,2017-06-21 19:00:36.690,CA,ON,North York,43.7224,-79.4454,506.4838222863842,POI3
4530252,2017-06-21 16:00:36.783,CA,AB,Beaumont,53.34991,-113.40827,22.423938079121086,POI1
4530326,2017-06-21 19:00:36.873,CA,AB,Calgary,51.0656,-114.06299999999999,278.6809327854473,POI1
4530366,2017-06-21 20:00:37.027,CA,AB,Edmonton,53.58564000000001,-113.39449,7.45683682676343,POI1
4530373,2017-06-21 13:00:38.707,CA,BC,Vancouver,49.24157,-123.09776,820.0038292611233,POI1
